Date,Close
25/09/2017,5.379
26/09/2017,5.379
27/09/2017,5.379
28/09/2017,5.372
29/09/2017,5.366
02/10/2017,5.364
03/10/2017,5.363
04/10/2017,5.357
05/10/2017,5.357
06/10/2017,5.351
09/10/2017,5.34
10/10/2017,5.324
11/10/2017,5.318
12/10/2017,5.325
13/10/2017,5.325
16/10/2017,5.324
17/10/2017,5.324
18/10/2017,5.323
19/10/2017,5.316
20/10/2017,5.32
22/10/2017,5.32
23/10/2017,5.32
24/10/2017,5.317
25/10/2017,5.317
26/10/2017,5.317
27/10/2017,5.317
29/10/2017,5.317
30/10/2017,5.315
31/10/2017,5.315
01/11/2017,5.314
02/11/2017,5.314
03/11/2017,5.306
06/11/2017,5.306
07/11/2017,5.312
08/11/2017,5.312
09/11/2017,5.311
10/11/2017,5.311
13/11/2017,5.37
14/11/2017,5.37
15/11/2017,5.405
16/11/2017,5.403
17/11/2017,5.403
20/11/2017,5.403
21/11/2017,5.401
22/11/2017,5.401
23/11/2017,5.401
24/11/2017,5.408
27/11/2017,5.41
28/11/2017,5.409
29/11/2017,5.403
30/11/2017,5.387
01/12/2017,5.383
04/12/2017,5.382
05/12/2017,5.381
06/12/2017,5.373
07/12/2017,5.368
08/12/2017,5.36
11/12/2017,5.354
12/12/2017,5.34
13/12/2017,5.263
14/12/2017,5.22
15/12/2017,5.2
16/12/2017,5.2
18/12/2017,5.193
19/12/2017,5.171
20/12/2017,5.148
21/12/2017,5.05
22/12/2017,5.016
25/12/2017,5
26/12/2017,5.018
27/12/2017,5.03
28/12/2017,5.028
29/12/2017,5.053
01/01/2018,5.053
02/01/2018,5.049
03/01/2018,5.047
04/01/2018,5.085
05/01/2018,5.106
08/01/2018,5.105
09/01/2018,5.069
10/01/2018,4.992
11/01/2018,4.7
12/01/2018,4.717
15/01/2018,4.719
16/01/2018,4.738
17/01/2018,4.656
18/01/2018,4.483
19/01/2018,4.559
22/01/2018,4.531
23/01/2018,4.519
24/01/2018,4.487
25/01/2018,4.272
26/01/2018,4.095
29/01/2018,4.07
30/01/2018,4.12
31/01/2018,4.098
01/02/2018,4.396
02/02/2018,4.303
05/02/2018,4.294
06/02/2018,4.475
07/02/2018,4.399
08/02/2018,4.376
09/02/2018,4.384
12/02/2018,4.348
13/02/2018,4.361
14/02/2018,4.361
15/02/2018,4.361
16/02/2018,4.361
18/02/2018,4.361
19/02/2018,4.361
20/02/2018,4.361
21/02/2018,4.344
22/02/2018,4.291
23/02/2018,4.266
26/02/2018,4.257
27/02/2018,4.303
28/02/2018,4.307
01/03/2018,4.17
02/03/2018,4.199
05/03/2018,4.16
06/03/2018,4.155
07/03/2018,4.102
08/03/2018,4.114
09/03/2018,4.153
12/03/2018,4.154
13/03/2018,4.148
14/03/2018,4.158
15/03/2018,4.155
16/03/2018,4.16
19/03/2018,4.151
20/03/2018,4.155
21/03/2018,4.159
22/03/2018,4.158
23/03/2018,4.165
26/03/2018,4.156
27/03/2018,4.151
28/03/2018,4.165
29/03/2018,4.216
30/03/2018,4.196
02/04/2018,4.19
03/04/2018,4.177
04/04/2018,4.208
05/04/2018,4.225
06/04/2018,4.285
09/04/2018,4.285
10/04/2018,4.31
11/04/2018,4.333
12/04/2018,4.37
13/04/2018,4.359
16/04/2018,4.373
17/04/2018,4.373
18/04/2018,4.374
19/04/2018,4.378
20/04/2018,4.392
23/04/2018,4.39
24/04/2018,4.404
25/04/2018,4.404
26/04/2018,4.403
27/04/2018,4.682
30/04/2018,4.682
01/05/2018,4.682
02/05/2018,4.662
03/05/2018,4.639
04/05/2018,4.579
07/05/2018,4.549
08/05/2018,4.551
09/05/2018,4.559
10/05/2018,4.554
11/05/2018,4.552
14/05/2018,4.556
15/05/2018,4.544
16/05/2018,4.548
17/05/2018,4.569
18/05/2018,4.539
20/05/2018,4.539
21/05/2018,4.562
22/05/2018,4.56
23/05/2018,4.564
24/05/2018,4.565
25/05/2018,4.591
28/05/2018,4.567
29/05/2018,4.617
30/05/2018,4.611
31/05/2018,4.658
01/06/2018,4.664
04/06/2018,4.662
05/06/2018,4.67
06/06/2018,4.685
07/06/2018,4.688
08/06/2018,4.686
11/06/2018,4.687
12/06/2018,4.687
13/06/2018,4.731
14/06/2018,4.71
15/06/2018,4.739
18/06/2018,4.727
19/06/2018,4.74
20/06/2018,4.749
21/06/2018,4.735
22/06/2018,4.729
25/06/2018,4.741
26/06/2018,4.756
27/06/2018,4.756
28/06/2018,4.734
29/06/2018,4.743
02/07/2018,4.742
03/07/2018,4.82
04/07/2018,4.82
05/07/2018,4.85
06/07/2018,4.85
09/07/2018,4.845
10/07/2018,4.844
11/07/2018,4.844
12/07/2018,4.844
13/07/2018,4.839
16/07/2018,4.839
17/07/2018,4.853
18/07/2018,4.851
19/07/2018,4.856
20/07/2018,4.854
23/07/2018,4.881
24/07/2018,4.88
25/07/2018,4.931
26/07/2018,4.867
27/07/2018,4.886
30/07/2018,4.975
31/07/2018,4.923
01/08/2018,4.951
02/08/2018,4.96
03/08/2018,5.037
06/08/2018,5.037
07/08/2018,5.034
08/08/2018,5.033
09/08/2018,5.033
10/08/2018,4.969
13/08/2018,4.99
14/08/2018,5.022
15/08/2018,5.011
16/08/2018,5.004
17/08/2018,5.078
20/08/2018,5.096
21/08/2018,5.1
22/08/2018,5.1
23/08/2018,5.175
24/08/2018,5.163
